KINASE,kinase_top1_id,kinase_top5_id,kinase_top10_id
VRK1,Q99986,Q99986,Q99986
AlphaK3,Q96QP1,Q96QP1,Q96QP1
MEK2,P36507,P36507,P36507
TTK,P33981,P33981,P33981
PBK,Q96KB5,Q96KB5,Q96KB5
GAK,O14976,O14976,O14976
VRK2,Q86Y07,Q86Y07,Q86Y07
TAK1,O43318,O43318,O43318
ASK1,Q99683,Q99683,Q99683
STLK3,Q9UEW8,Q9UEW8,Q9UEW8
CAMKK2,Q96RR4,Q96RR4,Q96RR4
LKB1,Q15831,Q15831,Q15831
BRAF,P15056,P15056,P15056
AAK1,Q2M2I8,Q2M2I8,Q2M2I8
BIKE,Q9NSY1,Q9NSY1,Q9NSY1
CAMKK1,Q8N5S9,Q8N5S9,Q8N5S9
MEKK6,O95382,O95382,O95382
NEK1,Q96PY6,Q96PY6,Q96PY6
MEK1,Q02750,Q02750,Q02750
LRRK2,Q5S007,Q5S007,Q5S007
