KINASE,kinase_top1_id,kinase_top5_id,kinase_top10_id
TNK1,Q13470,Q13470,Q13470
DDR1,Q08345,Q08345,Q08345
JAK1,P23458,P23458,P23458
BRK,Q13882,Q13882,Q13882
MUSK,O15146,O15146,O15146
TYK2,P29597,P29597,P29597
ACK,Q07912,Q07912,Q07912
DDR2,Q16832,Q16832,Q16832
PDGFRA,P16234,P16234,P16234
FGR,P09769,P09769,P09769
TIE2,Q02763,Q02763,Q02763
BTK,Q06187,Q06187,Q06187
JAK2,O60674,O60674,O60674
ABL,P00519,P00519,P00519
EPHA6,Q9UF33,Q9UF33,Q9UF33
RET,P07949,P07949,P07949
JAK3,P52333,P52333,P52333
FAK,Q05397,Q05397,Q05397
FLT3,P36888,P36888,P36888
RON,Q04912,Q04912,Q04912
